doctor_name,Speciality,Availability,Ratings,Location
Dr. Shivani Singh,Primary Care Doctor,"Monday, Thursday",3.3,Kanpur
Dr. Akash Mehra,"Ear, Nose & Throat Doctor","Tuesday, Thursday",3.6,Amritsar
Dr. Ananya Choudhary,Psychotherapist,"Friday, Tuesday",4.6,Dehradun
Dr. Rohit Singh,Dentist,"Thursday, Friday",4.1,Guwahati
Dr. Naina Mehra,Physician Assistant,"Wednesday, Friday",4,Raipur
Dr. Karan Choudhary,Glaucoma Specialist,"Monday,Tuesday",3.7,Varanasi
Dr. Pooja Singh,Emergency Medicine Physician,"Tuesday, Wednesday",3.5,Bhubaneswar
Dr. Sahil Mehra,Hand & Microsurgery Specialist,"Wednesday, Thursday",3.8,Jabalpur
Dr. Aishwarya Chatterjee,Interventional Cardiologist,"Tuesday, Wednesday",4.7,Jodhpur
Dr. Sameer Mehra,Physical Therapist,"Wednesday, Thursday",4,Mumbai
Dr. Tanvi Mehra,Optometrist,"Friday, Tuesday",4.2,Delhi
Dr. Aditya Chatterjee,Reproductive Endocrinologist,"Thursday, Friday",4.2,Bangalore
Dr. Riya Mehra,Sports Medicine Specialist,"Tuesday, Thursday",3.8,Kolkata
Dr. Karthik Choudhary,Psychologist,"Wednesday, Friday",3.5,Chennai
Dr. Sneha Chatterjee,Psychotherapist,"Monday,Tuesday",4.5,Hyderabad
Dr. Rohan Mehra,Psychotherapist,"Tuesday, Wednesday",3.5,Pune
Dr. Kritika Choudhary,OB-GYN,"Monday, Wednesday",3.5,Ahmedabad
Dr. Rohit Chatterjee,Gynecologist,"Tuesday, Thursday",3.5,Lucknow
Dr. Shivani Mehra,Reproductive Endocrinologist,"Monday, Thursday",3.8,Kanpur
Dr. Sahil Choudhary,Adult Psychiatric & Mental Health Nurse Practitioner,"Tuesday, Thursday",3.6,Nagpur
Dr. Ananya Chatterjee,Psychotherapist,"Monday, Friday",4.1,Visakhapatnam
Dr. Aditya Mehra,Nephrologist,"Monday, Wednesday",3.7,Indore
Dr. Tanvi Mehra,Nuclear Medicine Specialist,"Tuesday, Thursday",4.7,Thane
Dr. Sanjay Kumar,Pediatric / Strabismus Eye Doctor,"Monday,Tuesday",3.6,Bhopal
Dr. Neha Sharma,Orthopedic Surgeon,"Monday,Tuesday",4.9,Patna
Dr. Arvind Patel,Interventional Cardiologist,"Tuesday, Wednesday",4.2,Vadodara
Dr. Priya Gupta,Neuro-Otologist,"Wednesday, Thursday",4.4,Ghaziabad
Dr. Rahul Singhania,Psychotherapist,"Friday, Tuesday",4.2,Ludhiana
Dr. Sneha Verma,Gynecologist,"Monday,Tuesday",3,Agra
Dr. Vikram Khanna,Travel Medicine Specialist,"Tuesday, Wednesday",4.2,Nashik
Dr. Anjali Kapoor,OB-GYN,"Monday, Thursday",4.4,Faridabad
Dr. Rohit Malhotra,Nephrologist,"Tuesday, Thursday",4.6,Meerut
Dr. Nisha Desai,Gynecologist,"Friday, Tuesday",4.5,Mumbai
Dr. Rajesh Gupta,Refractive Surgeon,"Thursday, Friday",4.5,Delhi
Dr. Aarti Sharma,Prosthodontist,"Tuesday, Thursday",4.2,Bangalore
Dr. Aniket Reddy,Foot & Ankle Specialist,"Wednesday, Friday",3.8,Kolkata
Dr. Kavya Bansal,Emergency Medicine Physician,"Monday,Tuesday",4.2,Chennai
Dr. Manoj Joshi,Physical Therapist,"Tuesday, Wednesday",5,Kakinada
Dr. Shreya Singh,Neuro-Ophthalmologist,"Monday,Tuesday",3,Davanagere
Dr. Ajay Mishra,Gynecologist,"Tuesday, Wednesday",3.4,Kozhikode
Dr. Tanvi Chawla,Travel Medicine Specialist,"Wednesday, Thursday",3.1,Maheshtala
Dr. Arjun Kumar,OB-GYN,"Friday, Tuesday",5,Rajpur Sonarpur
Dr. Preeti Sharma,Optometrist,"Tuesday, Thursday",5,Rajahmundry
Dr. Vivek Sharma,Hand & Microsurgery Specialist,"Wednesday, Friday",4.3,Bokaro Steel City
Dr. Ritu Jain,Pediatric Sports Medicine Specialist,"Monday,Tuesday",3.3,South Dumdum
Dr. Aditya Mehra,Psychotherapist,"Tuesday, Wednesday",3.2,Bellary
Dr. Meera Patel,Infectious Disease Specialist,"Wednesday, Thursday",4.9,Patiala
Dr. Rohan Verma,Physical Therapist,"Monday, Thursday",3.6,Gopalpur
Dr. Nandini Choudhary,Oncologist,"Tuesday, Thursday",4.4,Agartala
Dr. Akash Kumar,Prosthodontist,"Friday, Tuesday",5,Muzaffarnagar
Dr. Ananya Singh,Pediatric Nurse Practitioner,"Thursday, Friday",3,Latur
Dr. Sahil Gupta,Pediatric / Strabismus Eye Doctor,"Tuesday, Thursday",4.3,Hyderabad
Dr. Priyanka Mehra,Physical Therapist,"Wednesday, Friday",4.6,Pune
Dr. Ankit Sharma,Sports Medicine Specialist,"Monday,Tuesday",3.7,Ahmedabad
Dr. Kritika Kapoor,Optometrist,"Tuesday, Wednesday",3.4,Jaipur
Dr. Mohan Singh,Emergency Medicine Physician,"Monday, Wednesday",3.6,Surat
Dr. Anushka Chatterjee,Psychotherapist,"Tuesday, Thursday",4.3,Surat
Dr. Sameer Kumar,Orthopedic Surgeon,"Tuesday, Thursday",4.6,Lucknow
Dr. Riya Khanna,Physical Therapist,"Friday, Tuesday",3.1,Kanpur
Dr. Vikrant Singh,Psychotherapist,"Thursday, Friday",4,Nagpur
Dr. Sneha Mehra,Physical Therapist,"Tuesday, Thursday",4.2,Visakhapatnam
Dr. Arjun Gupta,Nuclear Medicine Specialist,"Wednesday, Friday",3.9,Indore
Dr. Natasha Kapoor,Geriatrician,"Monday,Tuesday",4.7,Thane
Dr. Ravi Sharma,Allergist,"Tuesday, Wednesday",3.8,Bhopal
Dr. Aditi Reddy,Emergency Medicine Physician,"Monday,Tuesday",4.1,Ujjain
Dr. Deepak Patel,Oncologist,"Tuesday, Wednesday",3.2,Siliguri
Dr. Shruti Gupta,Travel Medicine Specialist,"Wednesday, Thursday",4,Jhansi
Dr. Karan Singh,Oncologist,"Friday, Tuesday",4.2,Durg-Bhilai Nagar
Dr. Naina Sharma,Vascular Surgeon,"Thursday, Friday",4.7,Tirupur
Dr. Rajat Verma,Optometrist,"Tuesday, Thursday",3.2,Guntur
Dr. Ishita Singh,Urological Surgeon,"Monday, Wednesday",4.7,Gorakhpur
Dr. Akshay Khurana,Emergency Medicine Physician,"Tuesday, Thursday",3.7,Saharanpur
Dr. Ayesha Choudhary,Reproductive Endocrinologist,"Wednesday, Friday",3.9,Bhatpara
Dr. Rohit Mehra,Periodontist,"Monday,Tuesday",5,Bhilwara
Dr. Swati Bansal,Neurosurgeon,"Tuesday, Wednesday",4.9,Kakinada
Dr. Vikas Reddy,Emergency Medicine Physician,"Wednesday, Thursday",3.2,Davanagere
Dr. Anjali Malhotra,Psychotherapist,"Wednesday, Friday",3.7,Kozhikode
Dr. Abhishek Kumar,Infectious Disease Specialist,"Monday,Tuesday",3.8,Maheshtala
Dr. Priya Khanna,Periodontist,"Monday,Tuesday",3.5,Delhi
Dr. Surya Gupta,Pediatric Otolaryngologist,"Tuesday, Wednesday",4.6,Bangalore
Dr. Ritu Patel,Neurosurgeon,"Wednesday, Thursday",4.8,Kolkata
Dr. Aniket Singh,Neuro-Otologist,"Friday, Tuesday",3.7,Chennai
Dr. Neha Kapoor,Orthopedic Surgeon,"Monday,Tuesday",3.7,Hyderabad
Dr. Rohan Sharma,Psychotherapist,"Tuesday, Wednesday",4.9,Pune
Dr. Tanvi Joshi,Oncologist,"Monday, Thursday",4.1,Ahmedabad
Dr. Aditya Verma,Prosthodontist,"Tuesday, Thursday",3.1,Jaipur
Dr. Pooja Khurana,Emergency Medicine Physician,"Friday, Tuesday",4.1,Surat
Dr. Ankit Gupta,Optometrist,"Tuesday, Thursday",4.1,Lucknow
Dr. Shweta Singh,Foot & Ankle Specialist,"Wednesday, Friday",4.4,Kanpur
Dr. Abhinav Sharma,Travel Medicine Specialist,"Monday,Tuesday",3.8,Nagpur
Dr. Natasha Mehra,Oncologist,"Tuesday, Wednesday",4.9,Visakhapatnam
Dr. Yash Singh,Allergist,"Monday, Wednesday",3.8,Indore
Dr. Nisha Verma,Pediatric Sports Medicine Specialist,"Tuesday, Thursday",3.7,Thane
Dr. Arvind Khanna,Oncologist,"Monday, Thursday",3.5,Bhopal
Dr. Priyanka Singh,Psychotherapist,"Tuesday, Thursday",4,Patna
Dr. Rohit Choudhary,Nuclear Medicine Specialist,"Monday, Friday",3.2,Vadodara
Dr. Kritika Khanna,Adult Psychiatric & Mental Health Nurse Practitioner,"Monday, Wednesday",4.9,Ghaziabad
Dr. Mohit Sharma,Physical Therapist,"Tuesday, Thursday",3.2,Ludhiana
Dr. Anjali Bansal,Physical Therapist,"Monday,Tuesday",3.9,Agra
Dr. Ravi Verma,Physical Therapist,"Monday,Tuesday",3.7,Nashik
Dr. Ananya Khurana,Physical Therapist,"Tuesday, Wednesday",4.7,Faridabad
Dr. Sameer Verma,Nutritionist,"Wednesday, Thursday",4.7,Meerut
Dr. Shivani Gupta,Psychotherapist,"Friday, Tuesday",4.5,Mumbai
Dr. Akash Choudhary,Gynecologist,"Monday,Tuesday",3.9,Delhi
Dr. Anushka Mehra,Gynecologist,"Friday, Tuesday",4.6,Bangalore
Dr. Rahul Kapoor,Psychotherapist,"Thursday, Friday",4,Kolkata
Dr. Sneha Sharma,Reproductive Endocrinologist,"Tuesday, Thursday",4.9,Chennai
Dr. Rohan Khanna,Physical Therapist,"Wednesday, Friday",3.1,Hyderabad
Dr. Tanvi Gupta,Physical Therapist,"Monday,Tuesday",4.6,Pune
Dr. Aman Singh,Orthopedic Surgeon,"Tuesday, Wednesday",3.7,Ahmedabad
Dr. Neha Khurana,Orthopedic Surgeon,"Monday,Tuesday",3.4,Surat
Dr. Karan Mehra,Psychotherapist,"Tuesday, Wednesday",3,Jaipur
Dr. Pooja Verma,Retina Specialist (Medical),"Wednesday, Thursday",3.3,Amritsar
Dr. Vikram Sharma,Travel Medicine Specialist,"Friday, Tuesday",4.3,Navi Mumbai
Dr. Riya Singh,Orthopedic Surgeon,"Thursday, Friday",3.4,Allahabad
Dr. Aditya Khanna,Prosthodontist,"Tuesday, Thursday",3.7,Ranchi
Dr. Nandini Verma,Orthopedic Surgeon,"Monday, Wednesday",4,Howrah
Dr. Arjun Choudhary,Optometrist,"Tuesday, Thursday",3.1,Jabalpur
Dr. Swati Khurana,Pediatric Cardiologist,"Wednesday, Friday",4.4,Gwalior
Dr. Ankit Mehra,Reproductive Endocrinologist,"Monday,Tuesday",3.3,Vijayawada
Dr. Priya Verma,Psychotherapist,"Tuesday, Wednesday",4.9,Jodhpur
Dr. Rohit Kumar,Pediatric Nurse Practitioner,"Wednesday, Thursday",3.3,Raipur
Dr. Meera Khanna,Psychotherapist,"Thursday, Friday",4.8,Kota
Dr. Sahil Verma,Emergency Medicine Physician,"Wednesday, Friday",3.6,Guwahati
Dr. Sneha Singh,Foot & Ankle Specialist,"Monday,Tuesday",3.3,Chandigarh
Dr. Anuj Sharma,Urological Surgeon,"Tuesday, Wednesday",3.8,Solapur
Dr. Ritu Khanna,Emergency Medicine Physician,"Wednesday, Thursday",4.2,Hubballi-Dharwad
Dr. Aarti Singh,Orthopedic Surgeon,"Friday, Tuesday",3.9,Bareilly
Dr. Vivek Khurana,Psychotherapist,"Thursday, Friday",3.8,Moradabad
Dr. Kavita Sharma,Oncologist,"Tuesday, Thursday",4.9,Mysore
Dr. Rahul Mehta,Physical Therapist,"Wednesday, Friday",3.1,Gurgaon
Dr. Nisha Choudhary,Nuclear Medicine Specialist,"Monday,Tuesday",4.9,Aligarh
Dr. Karan Kapoor,Infectious Disease Specialist,"Tuesday, Wednesday",4.5,Jalandhar
Dr. Priya Sharma,Emergency Medicine Physician,"Monday, Wednesday",3.6,Tiruchirappalli
Dr. Rohit Patel,Pediatric / Strabismus Eye Doctor,"Tuesday, Thursday",3.3,Bhubaneswar
Dr. Sneha Verma,Psychotherapist,"Monday,Tuesday",4.7,Salem
Dr. Vikram Singhania,Geriatrician,"Monday,Tuesday",3.6,Jamnagar
Dr. Anjali Reddy,Psychotherapist,"Tuesday, Wednesday",4.1,Ujjain
Dr. Arjun Gupta,Neuro-Otologist,"Wednesday, Thursday",3.6,Siliguri
Dr. Preeti Khanna,Psychotherapist,"Friday, Tuesday",3.3,Jhansi
Dr. Rajesh Sharma,Emergency Medicine Physician,"Monday,Tuesday",3.2,Durg-Bhilai Nagar
Dr. Neha Desai,Adult Psychiatric & Mental Health Nurse Practitioner,"Tuesday, Wednesday",3,Tirupur
Dr. Siddharth Patel,Prosthodontist,"Monday, Thursday",3.5,Guntur
Dr. Aarti Gupta,Orthopedic Surgeon,"Tuesday, Thursday",3.3,Gorakhpur
Dr. Aniket Malhotra,Geriatrician,"Friday, Tuesday",4.1,Saharanpur
Dr. Shreya Joshi,Foot & Ankle Specialist,"Thursday, Friday",3.3,Bhatpara
Dr. Aditya Singh,Optometrist,"Wednesday, Friday",4.5,Bhilwara
Dr. Tanvi Mehra,Prosthodontist,"Monday,Tuesday",4.6,Kakinada
Dr. Rohan Bansal,Prosthodontist,"Tuesday, Wednesday",4.5,Davanagere
Dr. Meera Chawla,Geriatrician,"Wednesday, Thursday",5,Kozhikode
Dr. Vivek Khanna,Psychotherapist,"Tuesday, Wednesday",4,Maheshtala
Dr. Ritu Kapoor,Optometrist,"Wednesday, Thursday",3.3,Rajpur Sonarpur
Dr. Akash Verma,Psychotherapist,"Monday, Wednesday",3.3,Rajahmundry
Dr. Nandini Sharma,Gynecologist,"Tuesday, Thursday",5,Bokaro Steel City
Dr. Anuj Mehra,Orthopedic Surgeon,"Monday, Thursday",3.1,South Dumdum
Dr. Kritika Choudhary,Orthopedic Surgeon,"Tuesday, Thursday",4.3,Bellary
Dr. Mohan Kumar,Oncologist,"Monday, Friday",3.2,Patiala
Dr. Anushka Singh,Neurosurgeon,"Monday, Wednesday",4,Gopalpur
Dr. Sameer Khurana,Emergency Medicine Physician,"Tuesday, Thursday",3.9,Bangalore
Dr. Riya Gupta,Pediatric / Strabismus Eye Doctor,"Wednesday, Friday",4.3,Kolkata
Dr. Vikrant Mehra,Vascular Surgeon,"Monday,Tuesday",3.7,Chennai
Dr. Sneha Kumar,Neuro-Ophthalmologist,"Tuesday, Wednesday",4.1,Hyderabad
Dr. Arjun Khanna,Emergency Medicine Physician,"Wednesday, Friday",3.1,Pune
Dr. Natasha Chatterjee,Oncologist,"Monday,Tuesday",3.4,Ahmedabad
Dr. Ravi Sharma,Pediatric Sports Medicine Specialist,"Tuesday, Wednesday",3.3,Surat
Dr. Aditi Patel,Adult Psychiatric & Mental Health Nurse Practitioner,"Wednesday, Thursday",4.3,Jaipur
Dr. Deepak Singh,Physical Therapist,"Monday, Thursday",3.1,Lucknow
Dr. Shruti Mehra,Psychotherapist,"Tuesday, Thursday",3.7,Kanpur
Dr. Karan Chawla,Optometrist,"Friday, Tuesday",3.6,Nagpur
Dr. Naina Patel,Gynecologist,"Thursday, Friday",3.3,Visakhapatnam
Dr. Rajat Kapoor,Sports Medicine Specialist,"Tuesday, Thursday",4.2,Indore
